rpu,billPeriodStart,billPeriodEnd,subTotal,kwh
432230504331,2024-11-06,2025-01-08,22433.34,4873.0
432230504331,2024-09-06,2024-11-06,24300.91,5222.0
432230504331,2024-07-08,2024-09-06,23164.34,4977.0
432230504331,2024-05-08,2024-07-08,24496.45,5392.0
432230504331,2024-03-08,2024-05-08,22983.73,5058.0
432230504331,2024-01-09,2024-03-08,5066.27,1111.0
432230504331,2023-11-08,2024-01-09,11517.24,2569.0
432230504331,2023-09-08,2023-11-08,11673.95,2569.0
432230504331,2023-07-10,2023-09-08,11738.18,2569.0
432230504331,2023-05-17,2023-07-10,11687.16,2569.0
443210800327,2025-04-28,2025-06-26,1447.25,296.0
443210800327,2025-02-26,2025-04-28,11882.07,2546.0
443210800327,2024-12-27,2025-02-26,7531.52,1610.0
443210800327,2024-10-28,2024-12-27,12188.24,2611.0
443210800327,2024-08-28,2024-10-28,13788.72,2956.0
443210800327,2024-06-26,2024-08-28,13467.37,2903.0
443210800327,2024-04-26,2024-06-26,16964.56,3729.0
443210800327,2024-02-26,2024-04-26,14029.7,3081.0
443210800327,2023-12-28,2024-02-26,,2242.0
443210800327,2023-10-27,2023-12-28,11340.97,2517.0
443210800327,2023-08-29,2023-10-27,12850.3,2832.0
443210800327,2023-06-28,2023-08-29,15014.88,3269.0
443210800327,2023-04-26,2023-06-28,17077.62,3795.0
443210800327,2023-02-24,2023-04-26,13989.55,3184.0
443210800327,2022-12-28,2023-02-24,10847.78,2510.0
443210800327,2022-10-27,2022-12-28,12826.78,2921.0
443210800327,2022-08-29,2022-10-27,13183.14,3015.0
443210800327,2022-06-28,2022-08-29,,3112.0
443210800327,2022-04-27,2022-06-28,,3457.0
443210800327,2022-02-25,2022-04-27,,3185.0
443210800327,2021-12-28,2022-02-25,,2365.0
443210800327,2021-10-27,2021-12-28,,2228.0
443210800327,2021-08-27,2021-10-27,,1995.0
443210800327,2021-08-09,2021-08-27,,52.0
506201203334,2025-03-27,2025-05-27,29445.03,6333.0
506201203334,2025-01-29,2025-03-27,23489.83,5050.0
506201203334,2024-12-02,2025-01-29,21272.56,4620.0
506201203334,2024-10-03,2024-12-02,26388.52,5672.0
506201203334,2024-08-05,2024-10-03,27817.36,5980.0
506201203334,2024-06-06,2024-08-05,29341.04,6344.0
506201203334,2024-04-10,2024-06-06,33368.96,7351.0
506201203334,2024-02-09,2024-04-10,30443.15,6705.0
506201203334,2023-12-12,2024-02-09,24997.38,5569.0
506201203334,2023-10-11,2023-12-12,29212.74,6509.0
506201203334,2023-08-11,2023-10-11,33857.71,7488.0
506201203334,2023-06-12,2023-08-11,35876.45,7833.0
506201203334,2023-04-12,2023-06-12,36318.6,8089.0
506201203334,2023-02-09,2023-04-12,29362.02,6701.0
506201203334,2022-12-12,2023-02-09,19841.41,4605.0
506201203334,2022-10-07,2022-12-12,21973.0,5016.0
506201203334,2022-08-05,2022-10-07,19191.05,4396.0
506201203334,2022-06-02,2022-08-05,18104.37,4175.0
506201203334,2022-03-31,2022-06-02,18527.23,4264.0
506201203334,2022-01-31,2022-03-31,15825.04,3757.0
506201203334,2021-12-02,2022-01-31,14227.81,3394.0
506201203334,2021-10-04,2021-12-02,,3387.0
506201203334,2021-08-02,2021-10-04,,3815.0
506201203334,2021-01-29,2021-08-02,,7963.0
506201203334,2021-03-31,2021-06-02,,100.0
506201203334,2021-01-29,2021-03-31,,100.0
506201203334,2020-12-15,2021-01-29,,1546.0
443200205145,2025-02-17,2025-04-17,33651.43,7240.0
443200205145,2024-12-17,2025-02-17,27494.14,5920.0
443200205145,2024-10-17,2024-12-17,35787.35,7698.0
443200205145,2024-08-19,2024-10-17,24978.23,5368.0
443200205145,2024-06-18,2024-08-19,23934.5,5172.0
443200205145,2024-04-17,2024-06-18,30302.76,6674.0
443200205145,2024-02-15,2024-04-17,22272.67,4901.0
443200205145,2023-12-19,2024-02-15,14574.87,3240.0
443200205145,2023-10-18,2023-12-19,17308.67,3850.0
443200205145,2023-08-17,2023-10-18,29223.98,6461.0
443200205145,2023-06-19,2023-08-17,28179.06,6149.0
443200205145,2023-04-18,2023-06-19,32438.13,7223.0
443200205145,2023-02-16,2023-04-18,24986.73,5700.0
443200205145,2022-12-19,2023-02-16,20386.6,4732.0
443200205145,2022-10-18,2022-12-19,23044.46,5260.0
443200205145,2022-08-18,2022-10-18,26660.69,6113.0
443200205145,2022-06-17,2022-08-18,30387.25,7018.0
443200205145,2022-04-19,2022-06-17,31424.53,7243.0
443200205145,2022-02-16,2022-04-19,24549.38,5837.0
443200205145,2021-12-17,2022-02-16,18554.59,4431.0
443200205145,2021-10-19,2021-12-17,,4928.0
443200205145,2021-08-19,2021-10-19,,5103.0
443200205145,2021-06-18,2021-08-19,,4826.0
443200205145,2021-04-19,2021-06-18,,4687.0
443200205145,2021-02-16,2021-04-19,,3278.0
443200205145,2020-12-16,2021-02-16,,86.0
443200205145,2020-10-16,2020-12-16,,2456.0
443200205145,2020-08-17,2020-10-16,,2830.0
443200205145,2020-06-16,2020-08-17,,2860.0
443200205145,2020-04-16,2020-06-16,,5125.0
443200205145,2020-02-27,2020-04-16,,50.0
435150702336,2025-04-10,2025-06-11,16997.44,3649.0
435150702336,2025-02-10,2025-04-10,16964.98,3642.0
435150702336,2024-12-11,2025-02-10,20291.85,4365.0
435150702336,2024-10-10,2024-12-11,22473.11,4828.0
435150702336,2024-08-12,2024-10-10,20654.58,4436.0
435150702336,2024-06-11,2024-08-12,23136.41,4999.0
435150702336,2024-04-10,2024-06-11,23173.95,5100.0
